Feedback Text,Rating,Sentiment,Date
Affordable and reliable.,4,Positive,1/3/2025
Wrong product delivered.,1,Negative,5/1/2025
Everything was perfect.,4,Positive,5/14/2025
Satisfactory but not impressive.,3,Neutral,5/19/2025
Fast delivery and fresh items!,5,Positive,8/26/2024
"Not too bad, not too good.",3,Neutral,11/26/2024
"Not too bad, not too good.",3,Neutral,6/22/2025
Top-notch packaging and quality.,5,Positive,9/15/2024
"It was okay, not great.",3,Neutral,12/15/2024
Satisfactory but not impressive.,3,Neutral,5/9/2025
"Poor packaging, not happy.",2,Negative,3/15/2025
Very satisfied with my purchase.,5,Positive,9/11/2024
Wrong product delivered.,2,Negative,1/30/2025
Customer service was unhelpful.,2,Negative,1/4/2025
Product arrived late.,1,Negative,12/1/2024
Works as intended.,3,Neutral,12/11/2024
"Great experience, will buy again.",5,Positive,7/1/2024
Average experience.,3,Neutral,2/25/2025
Fast delivery and fresh items!,4,Positive,4/15/2025
Wrong product delivered.,1,Negative,2/9/2025
Top-notch packaging and quality.,4,Positive,11/18/2024
Very satisfied with my purchase.,4,Positive,10/9/2024
"It was okay, not great.",3,Neutral,11/18/2024
Delivery was on time.,3,Neutral,5/30/2025
Excellent customer service!,5,Positive,1/12/2025
Top-notch packaging and quality.,5,Positive,3/24/2025
Everything was perfect.,4,Positive,12/6/2024
"Not too bad, not too good.",3,Neutral,7/29/2024
Would not recommend.,1,Negative,4/4/2025
Not fresh at all.,1,Negative,8/30/2024
Affordable and reliable.,4,Positive,4/5/2025
Quick checkout and support!,5,Positive,2/1/2025
Fast delivery and fresh items!,4,Positive,5/22/2025
Customer service was unhelpful.,1,Negative,7/16/2024
Nothing special about it.,3,Neutral,7/16/2024
Quick checkout and support!,5,Positive,2/19/2025
"Great experience, will buy again.",4,Positive,8/2/2024
Fast delivery and fresh items!,5,Positive,3/26/2025
Satisfactory but not impressive.,3,Neutral,1/18/2025
Product matches the description.,3,Neutral,9/6/2024
"Poor packaging, not happy.",1,Negative,6/30/2024
Satisfactory but not impressive.,3,Neutral,7/1/2024
Product matches the description.,3,Neutral,8/11/2024
Quick checkout and support!,4,Positive,1/6/2025
Just as expected.,3,Neutral,2/16/2025
Works as intended.,3,Neutral,7/24/2024
Fast delivery and fresh items!,5,Positive,3/27/2025
The item was damaged.,1,Negative,9/11/2024
Very satisfied with my purchase.,4,Positive,4/10/2025
Customer service was unhelpful.,2,Negative,5/1/2025
Had higher expectations.,1,Negative,1/14/2025
Very satisfied with my purchase.,5,Positive,8/12/2024
Excellent customer service!,5,Positive,5/9/2025
Had higher expectations.,1,Negative,6/18/2025
Product matches the description.,3,Neutral,12/1/2024
Had higher expectations.,2,Negative,10/29/2024
Excellent customer service!,4,Positive,2/2/2025
Fair quality for the price.,3,Neutral,8/5/2024
Everything was perfect.,5,Positive,1/14/2025
"Great experience, will buy again.",5,Positive,9/18/2024
Everything was perfect.,5,Positive,3/12/2025
"Poor packaging, not happy.",1,Negative,6/17/2025
"It was okay, not great.",3,Neutral,1/10/2025
Fast delivery and fresh items!,5,Positive,10/4/2024
"Great experience, will buy again.",5,Positive,10/3/2024
"Not too bad, not too good.",3,Neutral,9/8/2024
Loved the product quality!,5,Positive,5/6/2025
Excellent customer service!,5,Positive,1/26/2025
Satisfactory but not impressive.,3,Neutral,11/5/2024
Highly recommend this store.,5,Positive,2/11/2025
Loved the product quality!,5,Positive,5/1/2025
Highly recommend this store.,4,Positive,9/5/2024
Would not recommend.,2,Negative,3/19/2025
Top-notch packaging and quality.,4,Positive,4/25/2025
Top-notch packaging and quality.,4,Positive,9/3/2024
Would not recommend.,1,Negative,10/22/2024
Highly recommend this store.,4,Positive,5/28/2025
Just as expected.,3,Neutral,1/16/2025
Everything was perfect.,5,Positive,2/19/2025
Fast delivery and fresh items!,5,Positive,6/8/2025
Highly recommend this store.,5,Positive,11/18/2024
Loved the product quality!,5,Positive,6/8/2025
Not fresh at all.,1,Negative,12/28/2024
"Great experience, will buy again.",5,Positive,7/4/2024
"Not too bad, not too good.",3,Neutral,1/15/2025
Had higher expectations.,2,Negative,8/9/2024
Top-notch packaging and quality.,4,Positive,10/23/2024
"Poor packaging, not happy.",1,Negative,9/16/2024
Everything was perfect.,5,Positive,5/25/2025
Everything was perfect.,4,Positive,4/21/2025
Works as intended.,3,Neutral,3/5/2025
Highly recommend this store.,5,Positive,10/16/2024
Not worth the money.,1,Negative,6/22/2025
Very satisfied with my purchase.,4,Positive,3/30/2025
Nothing special about it.,3,Neutral,3/23/2025
Highly recommend this store.,4,Positive,9/24/2024
Everything was perfect.,4,Positive,6/11/2025
Just as expected.,3,Neutral,4/17/2025
Disappointed with the quality.,1,Negative,1/4/2025
Nothing special about it.,3,Neutral,9/28/2024
